,EGFP-GAK F6/7_balanced_accuracy,EGFP-GAK F6/7_accuracy,EGFP-GAK F6/7_roc_auc,EGFP-GAK F6/7_r2,EGFP-GAK F6/7_corr,EGFP-GAK F6/8_balanced_accuracy,EGFP-GAK F6/8_accuracy,EGFP-GAK F6/8_roc_auc,EGFP-GAK F6/8_r2,EGFP-GAK F6/8_corr,A7D2/7_balanced_accuracy,A7D2/7_accuracy,A7D2/7_roc_auc,A7D2/7_r2,A7D2/7_corr,A7D2/8_balanced_accuracy,A7D2/8_accuracy,A7D2/8_roc_auc,A7D2/8_r2,A7D2/8_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_corr,CLTA-TagRFP EGFP-GAK A8/9_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/9_accuracy,CLTA-TagRFP EGFP-GAK A8/9_roc_auc,CLTA-TagRFP EGFP-GAK A8/9_r2,CLTA-TagRFP EGFP-GAK A8/9_corr,CLTA-TagRFP EGFP-GAK A8/8_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/8_accuracy,CLTA-TagRFP EGFP-GAK A8/8_roc_auc,CLTA-TagRFP EGFP-GAK A8/8_r2,CLTA-TagRFP EGFP-GAK A8/8_corr
gb_basic,0.8258460320601623,0.8238993710691824,0.901128042746883,0.43623440202043384,0.6708993270874527,0.8010416666666667,0.8011363636363636,0.8923177083333333,0.40985508035698526,0.6414841497773274,0.7306297650777909,0.7290448343079922,0.8260397942106242,0.3159243752125461,0.5621146377472228,0.7217788287844451,0.7128712871287128,0.8006700167504187,0.22728565686028812,0.48450986955602987,0.9333612302542107,0.9372056514913658,0.964086201485511,0.46777066827703584,0.6911635128975457,0.7817017207298087,0.7494172494172494,0.9029195845991476,0.41994805095269006,0.6532791854146871,0.8548044422984066,0.8350253807106599,0.9214550136809915,0.40043214347790335,0.6351754009670897,0.8326621923937361,0.8242677824267782,0.9063385533184191,0.3949963265774451,0.6286079315085089,0.8182355723746453,0.8085230589608874,0.9146361119871054,0.3459771125719068,0.5890271726437063,0.828021978021978,0.8303571428571429,0.9138228072294006,0.41671621764460287,0.6493948018457922,0.8150900165694948,0.8068107400130976,0.9055435496733621,0.2791210767341801,0.5291645151474746,0.8442625046881926,0.8466257668711656,0.9222825531044359,0.42152066833751856,0.6495454035984255,0.8343184163617601,0.827252419955324,0.9198937103690338,0.3895797828515103,0.6307256679128328,0.8494661401199357,0.8513888888888889,0.9243079323289942,0.4875604739701114,0.7046996537063982,0.7915065485059996,0.7926470588235294,0.8776915100340714,0.40675129974752,0.6382363520389397,0.73444795385883,0.7355242566510172,0.8158374857770627,0.1999307954402415,0.4613752323724008
gb_dasc,0.7797348110033644,0.779874213836478,0.8464080744112409,0.2938517219723539,0.5428746363386497,0.7895833333333333,0.7840909090909091,0.8591796875000001,0.3073936321391385,0.5563275103261682,0.7373551106427819,0.732943469785575,0.8062124217442509,0.28157091735974793,0.5328555287949499,0.7412470850986961,0.7247524752475247,0.7878362400236476,0.21824624597784614,0.4696847125733108,0.9257662935453499,0.9277864992150706,0.9173501412281619,0.3268202049374511,0.5761108573476786,0.7610482982209601,0.7167832167832168,0.8165303183146061,0.3075662231687367,0.5547819489302989,0.8348301947529374,0.8020304568527918,0.8976339932399806,0.3248200583942068,0.5699510583619779,0.7834824757643549,0.7656903765690377,0.8676360924683072,0.31773276780698667,0.5714779072747067,0.8090717964890151,0.7898423817863398,0.8941930340936963,0.2995484410075365,0.5479676007045786,0.8142857142857143,0.8063186813186813,0.8975023145352816,0.35785651641072236,0.6053203566953362,0.8086925800893348,0.7904387688277669,0.8907807909557829,0.2376920347371857,0.4933260425963057,0.8263919669951243,0.8220858895705522,0.9054562037573732,0.3723047514631834,0.6121626458450343,0.8304953560371517,0.8205510052122115,0.908744612396042,0.33787233561303176,0.5828940573453328,0.8292672224659938,0.8256944444444444,0.9078182438691434,0.44187987931551076,0.6745184685714407,0.772606070112148,0.7691176470588236,0.8586559659808817,0.3340720824971174,0.58075088139633,0.707708831953545,0.7073552425665102,0.7709910934986465,0.13612934443113478,0.37842995651863187
rf_basic,0.8005145458143677,0.7987421383647799,0.8905600633287155,0.41842180927036887,0.6510110681910696,0.8166666666666667,0.8181818181818182,0.8959635416666666,0.3903025208098446,0.6250007546058153,0.7436543110394842,0.7407407407407407,0.8308126200954564,0.31491941749977526,0.5613887744468065,0.7129766479456104,0.699009900990099,0.8015732256051499,0.22064254895701718,0.48100784511933814,0.9411601631969871,0.9419152276295133,0.966262161313945,0.4558243593420862,0.681013559714714,0.7835501495652986,0.7517482517482518,0.8897764975480621,0.40587496300749026,0.6391824236133695,0.8438757444068887,0.8274111675126904,0.9006599066473524,0.34553112993178314,0.5904748809293557,0.828262490678598,0.8242677824267782,0.8978374347501865,0.37272131411091447,0.6107397317359948,0.8141438032166509,0.7962638645650905,0.9068572830162236,0.3350603940515695,0.5789530993966433,0.8206959706959707,0.8221153846153846,0.9072153121603671,0.41500182709303546,0.6454236384371053,0.8235328146241288,0.8159790438768828,0.8943085231663024,0.26609925427741865,0.518604485580755,0.8268906202052575,0.8271983640081799,0.9140015002216237,0.4170691557322148,0.6463624989352537,0.8298855427338399,0.8220402084884587,0.9036136267059596,0.3636977887469097,0.6039869785106092,0.8442884305982157,0.8458333333333333,0.9242728292135928,0.4871761433598527,0.6996480364720195,0.7812633431800555,0.7823529411764706,0.8677837903780967,0.3751228100778671,0.6136490014036059,0.739656491544709,0.7402190923317684,0.8210558323851375,0.19650305468691798,0.459713754750686
rf_dasc,0.770374035226598,0.7704402515723271,0.8412032455966753,0.26707984782289773,0.5229921185366675,0.746875,0.7443181818181818,0.8239583333333333,0.26757957853731074,0.527785593955528,0.7261048781999628,0.7251461988304093,0.7809458873117213,0.20141320325331546,0.46150263376291184,0.7178786087299242,0.7049504950495049,0.7678917463132657,0.20590023481057984,0.4565660610447838,0.8973062035777801,0.9073783359497645,0.8772256512187467,0.2751737056632335,0.5276244993795175,0.740654355469775,0.6993006993006993,0.7614010740712664,0.24737103711906738,0.5051039403546301,0.7985353291485595,0.7741116751269036,0.8520199581522614,0.22844531573500637,0.4924480488894811,0.7466815809097689,0.7280334728033473,0.7993288590604027,0.21767941388234802,0.47279295361052825,0.7918585094081783,0.7769994162288383,0.8574441991660535,0.22828962813799258,0.49339586570243005,0.7826007326007326,0.7767857142857143,0.8634222919937203,0.29860658833102793,0.5473397087410006,0.7904113862593023,0.779305828421742,0.8555458222973336,0.1583774295009448,0.437671506137233,0.7971419073272188,0.7985685071574642,0.8594352006546423,0.28581533934189884,0.538922312914995,0.7993010601369734,0.7944899478778853,0.8702615298863705,0.2690592684411841,0.5270824089105557,0.7978353078835747,0.7958333333333333,0.8811115986543807,0.39132680775963047,0.6262098577044598,0.7662666980367553,0.7647058823529411,0.8314380571458448,0.27942121874967474,0.5327920468339256,0.687394554086397,0.6870109546165885,0.7454584690234237,0.06754819138882451,0.3302830006679003
ridge_basic,0.8029487433207996,0.8018867924528302,0.8922224421135959,0.4098726144169357,0.6467110008200045,0.81875,0.8181818181818182,0.8958333333333334,0.37230715400838543,0.6102586401861739,0.7482411826690634,0.746588693957115,0.8246761296721007,0.32144049059495006,0.5674949527291913,0.707072946431504,0.695049504950495,0.7867277564292048,0.19728114649799755,0.44734328346655805,0.9316298776022597,0.9340659340659341,0.961795166858458,0.4155915916855717,0.6495348331693045,0.802687510568698,0.7750582750582751,0.8848959457016741,0.3717157996284576,0.6118653861882809,0.844954128440367,0.8248730964467005,0.9142765169805247,0.3748177052090125,0.6125589599289497,0.8236390753169276,0.8075313807531381,0.8985831469052946,0.3855717736793497,0.6261053045721476,0.8365526122148639,0.8219497956800934,0.9117926346403168,0.3431866321613891,0.585910476603932,0.8428571428571429,0.8447802197802198,0.915338324678984,0.4056358360299972,0.6406044652124032,0.8162056683373896,0.8028814669286182,0.9064711934581485,0.2840521751707319,0.534726921039775,0.8457328923590985,0.8476482617586912,0.9204371100276179,0.41181432766052506,0.6428665328604242,0.8241392250680176,0.8220402084884587,0.91351412504208,0.37005534595129197,0.6090722396511138,0.8493345034371801,0.8493055555555555,0.9227828969821071,0.4613663018305245,0.6862588561978065,0.7852368877386523,0.7852941176470588,0.8742408002858162,0.3695488127554716,0.6080002057717769,0.7272334915839448,0.7276995305164319,0.8045768430964806,0.20034256448532173,0.45412685011550596
ridge_dasc,0.7539283593904611,0.7547169811320755,0.8327726103304968,0.2567359426179009,0.5072021941440842,0.7875,0.7784090909090909,0.8665364583333333,0.3002864539149074,0.5479847446902366,0.7429182421124403,0.7348927875243665,0.8029814665592264,0.28666714001297333,0.5377499022591765,0.6938614641836633,0.6673267326732674,0.78081584392551,0.19276123352319185,0.43913819447024316,0.9332304634375981,0.9340659340659341,0.9147086515325871,0.3125616403409357,0.5632571863659867,0.7847455057522872,0.754079254079254,0.8352624244155875,0.31247119794764544,0.5598407483112885,0.8253822629969418,0.7842639593908629,0.893932077901175,0.30779981347341245,0.5551571879072152,0.747613721103654,0.7154811715481172,0.8607009694258017,0.31023368366031123,0.5633562784824611,0.7964364553768528,0.7577349678925861,0.892144083534812,0.28498941574758274,0.5338628406762298,0.8,0.7802197802197802,0.8975626937165399,0.3350107330449088,0.5858348567415934,0.8070294325464544,0.7734119187950229,0.888319125990141,0.23246771222350182,0.48547959539657615,0.8287914691943128,0.8179959100204499,0.905187698182686,0.3548245780881071,0.5992275429865437,0.8222863308002627,0.7944899478778853,0.9015965519334668,0.3188301189346828,0.5655664934912514,0.819804007605675,0.8125,0.9058241918970308,0.41654399291409483,0.6563546463488602,0.7744447058618495,0.7661764705882353,0.8517414756141131,0.31676832375317276,0.5639401389832455,0.7033585749597835,0.701095461658842,0.7605445913603014,0.12638796733528124,0.3715677955896131
svm_basic,0.8095586780130615,0.8081761006289309,0.8962992281812785,0.42372816824052795,0.6597906603626388,0.8125,0.8125,0.8921874999999999,0.37796677415292623,0.6268110770633595,0.7470789685737309,0.7446393762183235,0.8262257484658774,0.2919162524632021,0.5587448601805176,0.7162446218018196,0.7029702970297029,0.808897428318061,0.1946385891862411,0.48148467561479397,0.930494821634062,0.9356357927786499,0.9591902918715347,0.41618134932854944,0.655287751470732,0.7823052298290932,0.7435897435897436,0.8961964349230599,0.406901172030648,0.6491276409770476,0.8600676001931434,0.8426395939086294,0.9258973120875583,0.3648003770766546,0.619180603941784,0.8338180462341536,0.8284518828451883,0.9056674123788218,0.38229229009689447,0.6316340998566536,0.8317644276253549,0.8336252189141856,0.9136147026875503,0.3104210851005619,0.5905300584786852,0.8324175824175823,0.8385989010989011,0.9100833232701364,0.3854079497195967,0.6444157535522863,0.8154577684485416,0.8146692861820564,0.8991987967489082,0.23125935237872408,0.52759746386234,0.8362968393058066,0.8404907975460123,0.9126461863684407,0.40454870850473135,0.6554259826832481,0.8276808330987897,0.8354430379746836,0.9163286479804417,0.3477910791152632,0.6162732595560918,0.8521281263712155,0.8541666666666666,0.9236487738286772,0.48928160310919955,0.7110572662374444,0.7965824031230666,0.7970588235294118,0.8768985439050532,0.3616115296560768,0.6170958495336202,0.7328245772354534,0.7339593114241002,0.8199179974104445,0.18240127540862094,0.47624825313086094
svm_dasc,0.7761923609736789,0.7767295597484277,0.8457945774787256,0.28989844973236967,0.5498378407135737,0.7854166666666667,0.7784090909090909,0.8494791666666667,0.27503311649195206,0.5376425242784729,0.7520919853715986,0.746588693957115,0.8091489493584579,0.2837789509241716,0.5413625531977517,0.7340788911879659,0.7128712871287128,0.7895523368476369,0.21978225675431728,0.4758795356255059,0.9249660006276808,0.9277864992150706,0.9174076786274716,0.31776675603157667,0.5746662042415354,0.7569695096707232,0.7132867132867133,0.8025563129384188,0.272022324386779,0.5534568022344222,0.8249798808948978,0.7918781725888325,0.8903589248350233,0.276202190944021,0.554244838593668,0.7901938851603281,0.7740585774058577,0.8580164056674123,0.3122432474187562,0.5646458361202689,0.815867759907495,0.7956800934033859,0.8959669224569887,0.24921944946727304,0.5403591648674178,0.8186813186813187,0.8104395604395604,0.8975808074709173,0.34084959585071106,0.5983285532378909,0.8098061658354372,0.7910936476751801,0.8894037874311498,0.18450453532216282,0.49274453288299225,0.8361988134610795,0.8312883435582822,0.9053581779126463,0.36504717760651106,0.6144797627670494,0.827000656722019,0.8190618019359642,0.9085611165378057,0.29338495368916984,0.5787907855228979,0.8353225098727513,0.83125,0.907639803032519,0.44685818221478646,0.6748068815911796,0.7744664906456138,0.7705882352941177,0.8537631035474342,0.309122417041646,0.5657339232110201,0.7049132891277906,0.704225352112676,0.7777886765802174,0.11539737007918283,0.3869339934795605
lstm,0.8253710666930536,0.8238993710691824,0.9081733623589946,0.4939408305057763,0.7028109585321212,0.8114583333333334,0.8125,0.9055989583333334,0.3786398526376219,0.6275075445998799,0.7503796566044753,0.7446393762183235,0.8248620839273539,0.28522785202716394,0.5511049669243072,0.7162446218018196,0.7029702970297029,0.7929845304956152,0.17524561443331654,0.4681262820239368,0.935892875823831,0.9403453689167975,0.9621613139449733,0.4550182546562558,0.6748400827849561,0.7865443710385605,0.7505827505827506,0.9087564213951265,0.44312444647884286,0.6673562352219616,0.8624979880894899,0.850253807106599,0.9194270078866892,0.3722126785123656,0.612966445510741,0.8283743475018643,0.8326359832635983,0.9111856823266219,0.4133229010229612,0.6457616923369904,0.8481472721538947,0.8400467016929364,0.9155383860681875,0.35254590815975984,0.5938011826294148,0.8562271062271063,0.8578296703296703,0.9165942116491566,0.4383494492557246,0.6624064425007559,0.8371716574866432,0.8297314996725605,0.9146278474945353,0.2649485101805763,0.5209594935299647,0.8523134099355587,0.8548057259713702,0.9252915203382318,0.44622048770812117,0.6687460053956215,0.8572098695937705,0.8555472822040209,0.9270928185515692,0.38513755581264686,0.6209398111168896,0.8586660816147433,0.8604166666666667,0.9307805567744137,0.4999041964939622,0.7070727225035288,0.7992924302233375,0.8,0.8790334527139484,0.3906250576241629,0.6296257648667549,0.7304115823753285,0.7323943661971831,0.8246557068309334,0.18322681887246428,0.4748058561555373
