,EGFP-GAK F6/8_balanced_accuracy,EGFP-GAK F6/8_accuracy,EGFP-GAK F6/8_roc_auc,EGFP-GAK F6/8_r2,EGFP-GAK F6/8_corr,EGFP-GAK F6/8_recall,EGFP-GAK F6/7_balanced_accuracy,EGFP-GAK F6/7_accuracy,EGFP-GAK F6/7_roc_auc,EGFP-GAK F6/7_r2,EGFP-GAK F6/7_corr,EGFP-GAK F6/7_recall,A7D2/7_balanced_accuracy,A7D2/7_accuracy,A7D2/7_roc_auc,A7D2/7_r2,A7D2/7_corr,A7D2/7_recall,A7D2/8_balanced_accuracy,A7D2/8_accuracy,A7D2/8_roc_auc,A7D2/8_r2,A7D2/8_corr,A7D2/8_recall,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_recall,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_recall,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_recall,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_recall,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos5/1_1.5s_recall,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos0/1_1.5s_recall,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos1/1_1.5s_recall,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos3/1_1.5s_recall,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos2/1_1.5s_recall,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_balanced_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_accuracy,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_roc_auc,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_r2,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_corr,488-1.5mW 561-1.5mW 647-1.5mW Exp100ms Int1.5s_7_Pos4/1_1.5s_recall,CLTA-TagRFP EGFP-GAK A8/9_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/9_accuracy,CLTA-TagRFP EGFP-GAK A8/9_roc_auc,CLTA-TagRFP EGFP-GAK A8/9_r2,CLTA-TagRFP EGFP-GAK A8/9_corr,CLTA-TagRFP EGFP-GAK A8/9_recall,CLTA-TagRFP EGFP-GAK A8/8_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/8_accuracy,CLTA-TagRFP EGFP-GAK A8/8_roc_auc,CLTA-TagRFP EGFP-GAK A8/8_r2,CLTA-TagRFP EGFP-GAK A8/8_corr,CLTA-TagRFP EGFP-GAK A8/8_recall
gb_basic,0.8010416666666667,0.8011363636363636,0.8923177083333333,0.40985508035698526,0.6414841497773274,0.8,0.8258460320601623,0.8238993710691824,0.901128042746883,0.43623440202043384,0.6708993270874527,0.7484662576687117,0.7306297650777909,0.7290448343079922,0.8260397942106242,0.3159243752125461,0.5621146377472228,0.7420814479638009,0.7217788287844451,0.7128712871287128,0.8006700167504187,0.22728565686028812,0.48450986955602987,0.7638190954773869,0.7847421639777928,0.754079254079254,0.9034615987051636,0.41994805095269006,0.6532791854146871,0.6629422718808193,0.9373110831234257,0.9403453689167975,0.9666981528127624,0.46777066827703584,0.6911635128975457,0.925,0.8592981092981093,0.8375634517766497,0.9255698005698005,0.40043214347790335,0.6351754009670897,0.9074074074074074,0.8326621923937361,0.8242677824267782,0.9063385533184191,0.3949963265774451,0.6286079315085089,0.8666666666666667,0.8898809523809523,0.8881944444444444,0.9535376984126984,0.4875604739701114,0.7046996537063982,0.9,0.8904645101946957,0.8865030674846626,0.9550075556820921,0.42152066833751856,0.6495454035984255,0.9090909090909091,0.8534746275221288,0.8283712784588442,0.9409569886561475,0.3459771125719068,0.5890271726437063,0.9030732860520094,0.8733937562940584,0.8510796723752793,0.9437491008487988,0.3895797828515103,0.6307256679128328,0.92,0.8687558356676004,0.8619505494505495,0.9467370281445912,0.41671621764460287,0.6493948018457922,0.8908730158730159,0.8510539534563125,0.8290766208251473,0.9303266329493465,0.2791210767341801,0.5291645151474746,0.8997613365155132,0.7930252833478639,0.7941176470588235,0.8789363557105492,0.40675129974752,0.6382363520389397,0.7806451612903226,0.73444795385883,0.7355242566510172,0.8158374857770627,0.1999307954402415,0.4613752323724008,0.7045454545454546
gb_dasc,0.7895833333333333,0.7840909090909091,0.8591796875000001,0.3073936321391385,0.5563275103261682,0.85,0.7797348110033644,0.779874213836478,0.8464080744112409,0.2938517219723539,0.5428746363386497,0.7852760736196319,0.7373551106427819,0.732943469785575,0.8062124217442509,0.28157091735974793,0.5328555287949499,0.7692307692307693,0.7412470850986961,0.7247524752475247,0.7878362400236476,0.21824624597784614,0.4696847125733108,0.8190954773869347,0.7636836700951983,0.7214452214452215,0.820930286523144,0.3075662231687367,0.5547819489302989,0.595903165735568,0.9297544080604534,0.9309262166405023,0.922764483627204,0.3268202049374511,0.5761108573476786,0.925,0.8394522144522144,0.8045685279187818,0.9007705257705257,0.3248200583942068,0.5699510583619779,0.9166666666666666,0.7834824757643549,0.7656903765690377,0.8676360924683072,0.31773276780698667,0.5714779072747067,0.8555555555555555,0.8657142857142857,0.8555555555555555,0.9374206349206349,0.44187987931551076,0.6745184685714407,0.9266666666666666,0.8632990955082017,0.8496932515337423,0.937149865311754,0.3723047514631834,0.6121626458450343,0.9272727272727272,0.8419044477431414,0.8073555166374781,0.9265911631572196,0.2995484410075365,0.5479676007045786,0.9101654846335697,0.8562624082865775,0.8339538346984363,0.9291842900302115,0.33787233561303176,0.5828940573453328,0.9028571428571428,0.8497899159663865,0.8310439560439561,0.9267842553688141,0.35785651641072236,0.6053203566953362,0.9107142857142857,0.8424196341642038,0.8100851342501637,0.916032671910945,0.2376920347371857,0.4933260425963057,0.9140811455847255,0.7742807323452485,0.7705882352941177,0.860187445510026,0.3340720824971174,0.58075088139633,0.8161290322580645,0.707708831953545,0.7073552425665102,0.7709910934986465,0.13612934443113478,0.37842995651863187,0.7175324675324676
rf_basic,0.8166666666666667,0.8181818181818182,0.8959635416666666,0.3903025208098446,0.6250007546058153,0.8,0.8005145458143677,0.7987421383647799,0.8905600633287155,0.41842180927036887,0.6510110681910696,0.7300613496932515,0.7436543110394842,0.7407407407407407,0.8308126200954564,0.31491941749977526,0.5613887744468065,0.7647058823529411,0.7129766479456104,0.699009900990099,0.8015732256051499,0.22064254895701718,0.48100784511933814,0.7788944723618091,0.7866043613707165,0.7564102564102564,0.8891209384082563,0.40587496300749026,0.6391824236133695,0.6666666666666666,0.9418660789252729,0.9419152276295133,0.9682829554995802,0.4558243593420862,0.681013559714714,0.9416666666666667,0.8482905982905983,0.8299492385786802,0.9057239057239057,0.34553112993178314,0.5904748809293557,0.8888888888888888,0.828262490678598,0.8242677824267782,0.8978374347501865,0.37272131411091447,0.6107397317359948,0.8444444444444444,0.8834523809523809,0.88125,0.9511468253968254,0.4871761433598527,0.6996480364720195,0.8966666666666666,0.8761306147478154,0.869120654396728,0.9494754823591249,0.4170691557322148,0.6463624989352537,0.9090909090909091,0.8406839298477101,0.809106830122592,0.931641834808584,0.3350603940515695,0.5789530993966433,0.9030732860520094,0.8612156524241117,0.8399106478034252,0.9323147748525392,0.3636977887469097,0.6039869785106092,0.9057142857142857,0.8630368814192344,0.8550824175824175,0.9410847672402294,0.41500182709303546,0.6454236384371053,0.8888888888888888,0.8612423856009237,0.839554682383759,0.9247542283070401,0.26609925427741865,0.518604485580755,0.9093078758949881,0.7827811682650392,0.7838235294117647,0.8689625108979948,0.3751228100778671,0.6136490014036059,0.7709677419354839,0.739656491544709,0.7402190923317684,0.8210558323851375,0.19650305468691798,0.459713754750686,0.724025974025974
rf_dasc,0.746875,0.7443181818181818,0.8239583333333333,0.26757957853731074,0.527785593955528,0.775,0.770374035226598,0.7704402515723271,0.8412032455966753,0.26707984782289773,0.5229921185366675,0.7730061349693251,0.7261048781999628,0.7251461988304093,0.7809458873117213,0.20141320325331546,0.46150263376291184,0.7330316742081447,0.7178786087299242,0.7049504950495049,0.7678917463132657,0.20590023481057984,0.4565660610447838,0.7788944723618091,0.7434518526253502,0.703962703962704,0.7681883313899185,0.24737103711906738,0.5051039403546301,0.5865921787709497,0.9010232997481109,0.9105180533751962,0.8806675062972292,0.2751737056632335,0.5276244993795175,0.8625,0.802933177933178,0.7766497461928934,0.8552836052836053,0.22844531573500637,0.4924480488894811,0.8611111111111112,0.7466815809097689,0.7280334728033473,0.7993288590604027,0.21767941388234802,0.47279295361052825,0.8222222222222222,0.8344047619047619,0.8270833333333333,0.9108293650793652,0.39132680775963047,0.6262098577044598,0.8783333333333333,0.8366658636473139,0.8323108384458078,0.9004883817700007,0.28581533934189884,0.538922312914995,0.8571428571428571,0.8269833415800758,0.7968476357267951,0.8971924423186174,0.22828962813799258,0.49339586570243005,0.8865248226950354,0.8161099122428428,0.8019359642591214,0.8924241116386131,0.2690592684411841,0.5270824089105557,0.8457142857142858,0.8139005602240896,0.7987637362637363,0.8906645991730026,0.29860658833102793,0.5473397087410006,0.8630952380952381,0.8113632251449643,0.7897838899803536,0.8828782643908911,0.1583774295009448,0.437671506137233,0.8591885441527446,0.7678727114210986,0.7661764705882353,0.8342807323452484,0.27942121874967474,0.5327920468339256,0.7870967741935484,0.687394554086397,0.6870109546165885,0.7454584690234237,0.06754819138882451,0.3302830006679003,0.698051948051948
ridge_basic,0.81875,0.8181818181818182,0.8958333333333334,0.37230715400838543,0.6102586401861739,0.825,0.8029487433207996,0.8018867924528302,0.8922224421135959,0.4098726144169357,0.6467110008200045,0.7607361963190185,0.7482411826690634,0.746588693957115,0.8246761296721007,0.32144049059495006,0.5674949527291913,0.7601809954751131,0.707072946431504,0.695049504950495,0.7867277564292048,0.19728114649799755,0.44734328346655805,0.7638190954773869,0.8058528690022451,0.7797202797202797,0.8867714370246611,0.3717157996284576,0.6118653861882809,0.702048417132216,0.9356160789252729,0.9372056514913658,0.965407220822838,0.4155915916855717,0.6495348331693045,0.9291666666666667,0.8494237244237244,0.8274111675126904,0.9187386687386688,0.3748177052090125,0.6125589599289497,0.8981481481481481,0.8236390753169276,0.8075313807531381,0.8985831469052946,0.3855717736793497,0.6261053045721476,0.8888888888888888,0.888095238095238,0.8833333333333333,0.9543313492063492,0.4613663018305245,0.6862588561978065,0.9166666666666666,0.8879349992334815,0.8834355828220859,0.9539212895030771,0.41181432766052506,0.6428665328604242,0.9090909090909091,0.8711473967782726,0.840630472854641,0.9410761082705664,0.3431866321613891,0.585910476603932,0.9314420803782506,0.8605366134369155,0.8443782576321668,0.9390965328729679,0.37005534595129197,0.6090722396511138,0.8942857142857142,0.8794351073762838,0.8722527472527473,0.9459450446845404,0.4056358360299972,0.6406044652124032,0.9027777777777778,0.8511541145757047,0.8238375900458416,0.9347251061923266,0.2840521751707319,0.534726921039775,0.9116945107398569,0.7867916303400174,0.7867647058823529,0.8749694856146469,0.3695488127554716,0.6080002057717769,0.7870967741935484,0.7272334915839448,0.7276995305164319,0.8045768430964806,0.20034256448532173,0.45412685011550596,0.7142857142857143
ridge_dasc,0.7875,0.7784090909090909,0.8665364583333333,0.3002864539149074,0.5479847446902366,0.8875,0.7539283593904611,0.7547169811320755,0.8327726103304968,0.2567359426179009,0.5072021941440842,0.7852760736196319,0.7429182421124403,0.7348927875243665,0.8029814665592264,0.28666714001297333,0.5377499022591765,0.8009049773755657,0.6938614641836633,0.6673267326732674,0.78081584392551,0.19276123352319185,0.43913819447024316,0.8190954773869347,0.7878400250613481,0.7587412587412588,0.8393463165039421,0.31247119794764544,0.5598407483112885,0.6722532588454376,0.9372638539042821,0.9372056514913658,0.9202980688497062,0.3125616403409357,0.5632571863659867,0.9375,0.8300958300958301,0.7868020304568528,0.8967560217560218,0.30779981347341245,0.5551571879072152,0.9259259259259259,0.747613721103654,0.7154811715481172,0.8607009694258017,0.31023368366031123,0.5633562784824611,0.8777777777777778,0.8555952380952381,0.8395833333333333,0.9346547619047618,0.41654399291409483,0.6563546463488602,0.9516666666666667,0.8502157201988567,0.8271983640081799,0.9350298942204507,0.3548245780881071,0.5992275429865437,0.9584415584415584,0.8277750288635989,0.772913018096906,0.923349277035571,0.28498941574758274,0.5338628406762298,0.9361702127659575,0.8458754136095525,0.8049143708116158,0.9235879729535318,0.3188301189346828,0.5655664934912514,0.9314285714285714,0.8352007469654528,0.8021978021978022,0.9250200080032013,0.3350107330449088,0.5858348567415934,0.9424603174603174,0.8343367395293935,0.7865094957432875,0.9135964950070221,0.23246771222350182,0.48547959539657615,0.9403341288782816,0.7762859633827375,0.7676470588235295,0.8532868352223191,0.31676832375317276,0.5639401389832455,0.8741935483870967,0.7033585749597835,0.701095461658842,0.7605445913603014,0.12638796733528124,0.3715677955896131,0.7662337662337663
svm_basic,0.8125,0.8125,0.8921874999999999,0.37796677415292623,0.6268110770633595,0.8125,0.8095586780130615,0.8081761006289309,0.8962992281812785,0.42372816824052795,0.6597906603626388,0.754601226993865,0.7470789685737309,0.7446393762183235,0.8262257484658774,0.2919162524632021,0.5587448601805176,0.7647058823529411,0.7162446218018196,0.7029702970297029,0.808897428318061,0.1946385891862411,0.48148467561479397,0.7788944723618091,0.7850989401138203,0.7482517482517482,0.8977183731008197,0.406901172030648,0.6491276409770476,0.638733705772812,0.9344038623005877,0.9387755102040817,0.9614819479429051,0.41618134932854967,0.6552877514707321,0.9166666666666666,0.8645428645428646,0.8451776649746193,0.930976430976431,0.3648003770766546,0.619180603941784,0.9074074074074074,0.8338180462341536,0.8284518828451883,0.9056674123788218,0.38229229009689447,0.6316340998566536,0.8555555555555555,0.8967857142857143,0.8951388888888889,0.9551646825396827,0.48928160310919955,0.7110572662374444,0.9066666666666666,0.8855894527058101,0.8844580777096115,0.9566851361117803,0.40454870850473135,0.6554259826832481,0.8909090909090909,0.8630298532079828,0.851138353765324,0.9419814173401506,0.3104210851005619,0.5905300584786852,0.8865248226950354,0.8631247302546396,0.8577810871183916,0.9436397640627248,0.3477910791152631,0.6162732595560917,0.8742857142857143,0.8707399626517274,0.8688186813186813,0.9446674503134587,0.3854079497195967,0.6444157535522862,0.876984126984127,0.8521772657953008,0.8382449246889325,0.9317245806157001,0.23125935237872408,0.52759746386234,0.883054892601432,0.7951612903225806,0.7955882352941176,0.8768526591107236,0.3616115296560768,0.6170958495336202,0.7903225806451613,0.7328245772354534,0.7339593114241002,0.8199179974104445,0.18240127540862094,0.47624825313086094,0.7012987012987013
svm_dasc,0.7854166666666667,0.7784090909090909,0.8494791666666667,0.27503311649195206,0.5376425242784729,0.8625,0.7761923609736789,0.7767295597484277,0.8457945774787256,0.28989844973236967,0.5498378407135737,0.7975460122699386,0.7520919853715986,0.746588693957115,0.8091489493584579,0.2837789509241716,0.5413625531977517,0.7918552036199095,0.7340788911879659,0.7128712871287128,0.7895523368476369,0.21978225675431728,0.4758795356255059,0.8341708542713567,0.7596373066012287,0.717948717948718,0.8068825887444381,0.272022324386779,0.5534568022344222,0.5940409683426443,0.9289305205709488,0.9309262166405023,0.9226490344248531,0.31776675603157667,0.5746662042415354,0.9208333333333333,0.8295778295778296,0.7944162436548223,0.8942307692307693,0.276202190944021,0.554244838593668,0.9074074074074074,0.7901938851603281,0.7740585774058577,0.8580164056674123,0.3122432474187562,0.5646458361202689,0.8555555555555555,0.8721428571428571,0.8611111111111112,0.9385416666666666,0.44685818221478646,0.6748068815911796,0.9383333333333334,0.8714789426425177,0.8568507157464212,0.9390376908083485,0.36504717760651106,0.6144797627670494,0.9402597402597402,0.8489581615261972,0.8131932282545242,0.9278831528213023,0.24921944946727304,0.5403591648674178,0.9196217494089834,0.852480218673572,0.8324646314221892,0.9310631563803768,0.29338495368916984,0.5787907855228979,0.8942857142857142,0.8543417366946778,0.8351648351648352,0.9264455782312925,0.34084959585071106,0.5983285532378909,0.9166666666666666,0.8436129515866383,0.8107400130975769,0.9165280925014863,0.18450453532216282,0.49274453288299225,0.9164677804295943,0.77615518744551,0.7720588235294118,0.8557105492589364,0.309122417041646,0.5657339232110201,0.8225806451612904,0.7049132891277906,0.704225352112676,0.7777886765802174,0.11539737007918283,0.3869339934795605,0.724025974025974
lstm,0.8114583333333334,0.8125,0.9055989583333334,0.3786398526376219,0.6275075445998799,0.8,0.8253710666930536,0.8238993710691824,0.9081733623589946,0.4939408305057763,0.7028109585321212,0.7668711656441718,0.7503796566044753,0.7446393762183235,0.8248620839273539,0.28522785202716394,0.5511049669243072,0.7918552036199095,0.7162446218018196,0.7029702970297029,0.7929845304956152,0.17524561443331654,0.4681262820239368,0.7788944723618091,0.7894324648880071,0.7552447552447552,0.9090365884079663,0.44312444647884286,0.6673562352219616,0.6536312849162011,0.9398299748110832,0.9434850863422292,0.9648089840470193,0.4550182546562558,0.6748400827849561,0.925,0.8669062419062419,0.8527918781725888,0.9222027972027972,0.3722126785123656,0.612966445510741,0.8981481481481481,0.8283743475018643,0.8326359832635983,0.9111856823266219,0.4133229010229612,0.6457616923369904,0.8111111111111111,0.9064285714285715,0.9041666666666667,0.959952380952381,0.4999041964939622,0.7070727225035288,0.92,0.9178533102647773,0.9130879345603272,0.9651212194213881,0.44622048770812117,0.6687460053956215,0.9402597402597402,0.8855077244488427,0.8610624635143024,0.9444261183499184,0.35254590815975984,0.5938011826294148,0.933806146572104,0.8923636886778881,0.8763961280714817,0.9476794705797726,0.38513755581264686,0.6209398111168896,0.9257142857142857,0.9037698412698413,0.8949175824175825,0.9554655195411498,0.4383494492557246,0.6624064425007559,0.9325396825396826,0.8784604051248028,0.8559266535690897,0.9374413034300336,0.2649485101805763,0.5209594935299647,0.9284009546539379,0.8008282476024411,0.8014705882352942,0.8796687009590236,0.3906250576241629,0.6296257648667549,0.7935483870967742,0.7304115823753285,0.7323943661971831,0.8246557068309334,0.18322681887246428,0.4748058561555373,0.6753246753246753
