,clath_aux+gak_balanced_accuracy,clath_aux+gak_accuracy,clath_aux+gak_roc_auc,clath_aux+gak_r2,clath_aux+gak_corr,clath_aux+gak_a7d2_balanced_accuracy,clath_aux+gak_a7d2_accuracy,clath_aux+gak_a7d2_roc_auc,clath_aux+gak_a7d2_r2,clath_aux+gak_a7d2_corr,clath_aux+gak_a7d2_new_balanced_accuracy,clath_aux+gak_a7d2_new_accuracy,clath_aux+gak_a7d2_new_roc_auc,clath_aux+gak_a7d2_new_r2,clath_aux+gak_a7d2_new_corr,clath_aux+gak_new_balanced_accuracy,clath_aux+gak_new_accuracy,clath_aux+gak_new_roc_auc,clath_aux+gak_new_r2,clath_aux+gak_new_corr,clath_gak_balanced_accuracy,clath_gak_accuracy,clath_gak_roc_auc,clath_gak_r2,clath_gak_corr
gb_basic,0.7635013739167196,0.7610062893081762,0.8372437116888608,0.4140840732692179,0.6460278750585264,0.7042844308469309,0.6975124378109453,0.78633288008288,0.26774478083506636,0.5199686327272666,0.6056315872266793,0.6693227091633466,0.7536573855592261,0.05939280343574116,0.46963861956890696,0.8151658767772512,0.8041074249605056,0.8846611711327238,0.37821738013290196,0.6161727254312976,0.7653774184925384,0.7657316148597423,0.8429155106141749,0.3140947786709565,0.5611951386729223
gb_dasc,0.7315049672373706,0.7316561844863732,0.7917547382512505,0.2922196114787252,0.5407100100003065,0.7092681623931625,0.700497512437811,0.7650867650867651,0.24647733607271372,0.4968047605255022,0.6508573226364638,0.6115537848605578,0.7181846783073776,-0.0594519322536442,0.441732007708226,0.7879146919431279,0.7677725118483413,0.8550459333797533,0.32342237219030434,0.5706486799140715,0.7357851631992773,0.7338893100833965,0.799829703098067,0.22680044258013998,0.477335308557036
rf_basic,0.7695254703022616,0.7672955974842768,0.8354646656802649,0.4145614666162929,0.6444461147062099,0.710385101010101,0.7034825870646766,0.7948110916860915,0.2680121360279101,0.5218107516510916,0.6461381154632688,0.6752988047808764,0.729589428975932,0.04507986016618015,0.4615874345886347,0.8151658767772512,0.8009478672985783,0.8831450326812066,0.35325765183248914,0.5948832796541955,0.7661735968364873,0.7664897649734648,0.8418888899130771,0.3062287695063456,0.5553604451504084
rf_dasc,0.7024677658000422,0.7023060796645703,0.7668745156062848,0.20881897068042599,0.47726056526804883,0.6918099261849262,0.6845771144278607,0.7338934213934214,0.1694815476548993,0.4333903346233136,0.6719364480100677,0.5796812749003984,0.6739027843322322,-0.235362419851332,0.3727969367312751,0.740521327014218,0.731437598736177,0.7955796141146876,0.2294973011126461,0.4889266582755548,0.7038677445223851,0.7028051554207733,0.7734567275341746,0.16872378217757633,0.4350317989336014
ridge_basic,0.7627615726062144,0.7610062893081762,0.8346191784682591,0.3840478373706069,0.6215580849413164,0.7062208624708625,0.7034825870646766,0.7833220020720021,0.2559091378010433,0.5065311731997498,0.6856221488123329,0.6792828685258964,0.7679723139845839,-0.007114237088118536,0.4368356182419084,0.8127962085308057,0.8025276461295419,0.8825610386109924,0.37831101867035677,0.6154933384579915,0.7561136357351572,0.756633813495072,0.8365380183800825,0.29164652556818493,0.5407514083493546
ridge_dasc,0.7132213062777426,0.7148846960167715,0.7835376594095681,0.2757413218013445,0.5251778702096624,0.6919556138306138,0.6786069651741293,0.7666164853664854,0.2410108273496585,0.4919491767588224,0.6825546641497562,0.6733067729083665,0.7144879660217083,-0.023177627574977766,0.42644331946798963,0.778436018957346,0.7424960505529226,0.8488016890905415,0.30205621865705046,0.5524173392938114,0.726095062081171,0.7217589082638363,0.7894056430724419,0.21618953026595755,0.4658839694693676
svm_basic,0.7645846544071021,0.7631027253668763,0.833879377157754,0.3825494814396,0.6227555848182124,0.7106825466200466,0.7034825870646766,0.7950862794612794,0.2519251323148227,0.5228074606751683,0.5964291332389492,0.651394422310757,0.7207802422526348,-0.05095452454910476,0.45051726123502883,0.8199052132701421,0.8072669826224329,0.885829159273152,0.3596332953613386,0.6059605030439155,0.7673304174693742,0.7680060652009097,0.8419004120309347,0.28586005710455287,0.5521820644772726
svm_dasc,0.7300253646163601,0.7316561844863732,0.7920806031142114,0.27243007427124066,0.5339260926312556,0.7087703962703963,0.6965174129353234,0.7701372701372702,0.24329293119434237,0.5019150267902018,0.6569922919616171,0.6235059760956175,0.7234544596507786,-0.27182379434167436,0.4144066044655884,0.768957345971564,0.7424960505529226,0.8511376653713978,0.2919908890151929,0.5563228884275295,0.7373798243107469,0.734647460197119,0.8085346631393624,0.20873063956985427,0.4783088465851029
lstm,0.7824984147114775,0.779874213836478,0.8441485239202424,0.446459373457459,0.6687749774961003,0.7170806623931625,0.709452736318408,0.7831965488215488,0.23684509532971076,0.5023658643284764,0.7544700432301931,0.7053571428571429,0.8380178079506412,0.41821308314141026,0.6524067431006191,0.8139810426540284,0.8246445497630331,0.8953752161901125,0.38376900614679843,0.6215187704617497,0.7653728096453953,0.7672479150871873,0.8423981675223761,0.3127823331688804,0.5606081875204142
