,EGFP-GAK F6/7_balanced_accuracy,EGFP-GAK F6/7_accuracy,EGFP-GAK F6/7_roc_auc,EGFP-GAK F6/7_r2,EGFP-GAK F6/7_corr,EGFP-GAK F6/8_balanced_accuracy,EGFP-GAK F6/8_accuracy,EGFP-GAK F6/8_roc_auc,EGFP-GAK F6/8_r2,EGFP-GAK F6/8_corr,A7D2/7_balanced_accuracy,A7D2/7_accuracy,A7D2/7_roc_auc,A7D2/7_r2,A7D2/7_corr,A7D2/8_balanced_accuracy,A7D2/8_accuracy,A7D2/8_roc_auc,A7D2/8_r2,A7D2/8_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/12_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/11_corr,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_balanced_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_accuracy,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_roc_auc,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_r2,CLTA-TagRFP EGFP-Aux1 EGFP-GAK F6/10_corr,CLTA-TagRFP EGFP-GAK A8/9_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/9_accuracy,CLTA-TagRFP EGFP-GAK A8/9_roc_auc,CLTA-TagRFP EGFP-GAK A8/9_r2,CLTA-TagRFP EGFP-GAK A8/9_corr,CLTA-TagRFP EGFP-GAK A8/8_balanced_accuracy,CLTA-TagRFP EGFP-GAK A8/8_accuracy,CLTA-TagRFP EGFP-GAK A8/8_roc_auc,CLTA-TagRFP EGFP-GAK A8/8_r2,CLTA-TagRFP EGFP-GAK A8/8_corr,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_balanced_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_accuracy,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_roc_auc,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_r2,CLTA-TagRFP EGFP-Aux1-A7D2 EGFP-GAK-F6/11_corr
gb_basic,0.7795958058515136,0.775974025974026,0.8687214611872147,0.443458092482107,0.6718709013248841,0.7347210541070928,0.7337278106508875,0.7837118026352677,0.3605503577806386,0.6005812007662714,0.7155875299760192,0.7137176938369781,0.8038209432454037,0.31421159446761726,0.5607636337806681,0.6952066061323858,0.6812749003984063,0.7710060534280827,0.2211854038287453,0.4783831749883458,0.6056315872266793,0.6693227091633466,0.7536573855592261,0.05939280343574116,0.46963861956890696,0.805352798053528,0.7944162436548223,0.8761253041362531,0.3761149736370716,0.6150184896852582,0.8293362043362044,0.8200836820083682,0.8935253935253935,0.3816832720130573,0.6183235539573713,0.7967700393303401,0.7970588235294118,0.869848769621663,0.3921206852941529,0.6265974099095836,0.7322341989220971,0.7323943661971831,0.8112199902008819,0.23106251497178043,0.4868330586115422,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
gb_dasc,0.7535937764248266,0.7532467532467533,0.8191696262472519,0.3110591811735498,0.5578053114414413,0.6916876927389963,0.6923076923076923,0.7420801794224838,0.25788477440176627,0.5096939915112315,0.7142126298960831,0.7117296222664016,0.773285371702638,0.27432791504336584,0.5238959960408153,0.7073299118305041,0.6892430278884463,0.7594831556783788,0.2185712778610842,0.468357627275106,0.6508573226364638,0.6115537848605578,0.7181846783073776,-0.0594519322536442,0.441732007708226,0.7852798053527981,0.766497461928934,0.8540906326034063,0.32692584290476145,0.5731140511107506,0.7887956637956638,0.7698744769874477,0.8563632313632313,0.3176467761170988,0.5695320318114521,0.7689777592147855,0.7647058823529411,0.841786746023459,0.319364940609851,0.5660913206930414,0.7015188633023028,0.701095461658842,0.7520137187653111,0.12829675140611274,0.37165883099097896,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
rf_basic,0.7953661423981059,0.7922077922077922,0.867326230339929,0.45286159891492606,0.6747995685095721,0.7228763666947015,0.7218934911242604,0.78062797869358,0.3447600420720385,0.5873805846870331,0.7213029576338928,0.7176938369781312,0.8152677857713828,0.3267413711180759,0.5718773870269139,0.7003717594420318,0.6892430278884463,0.7774707198315568,0.2091659104295963,0.4715538900604819,0.6461381154632688,0.6752988047808764,0.729589428975932,0.04507986016618015,0.4615874345886347,0.7962287104622872,0.7817258883248731,0.8708637469586374,0.34202471898436027,0.586286726001916,0.8437035937035937,0.8326359832635983,0.895975645975646,0.37177554113024136,0.6099227935904952,0.7944902718318193,0.7941176470588235,0.8688350562110613,0.380762401643847,0.6174741043878957,0.7367956883880451,0.7370892018779343,0.8114355707986282,0.22691285424265073,0.48382678720549466,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
rf_dasc,0.7532555386436666,0.7532467532467533,0.8003974293928632,0.2575845585031308,0.518868976427258,0.6098261844687413,0.6094674556213018,0.7028315110737315,0.11994440825798136,0.39918684566232115,0.6959072741806555,0.6938369781312127,0.7401278976818546,0.1852994698024245,0.4489188757339681,0.690173049085406,0.6752988047808764,0.7307869456507436,0.1536321157022993,0.41758492267022174,0.6719364480100677,0.5796812749003984,0.6739027843322322,-0.235362419851332,0.3727969367312751,0.7459549878345499,0.7411167512690355,0.799330900243309,0.2403027149843724,0.5015652258574929,0.727947727947728,0.7154811715481172,0.7782150282150282,0.21168419205214295,0.4675556334668847,0.7419076955205179,0.7397058823529412,0.8165309247850753,0.24661273796163963,0.506867577686617,0.6638412542871142,0.6635367762128326,0.7234982851543361,0.0858372564605765,0.352192981317728,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
ridge_basic,0.7820057500422797,0.7792207792207793,0.8610688313884659,0.40632234540182455,0.6427102166827213,0.7282730585926549,0.727810650887574,0.7897392767031118,0.34345287598826924,0.5861502066983827,0.7357953637090328,0.73558648111332,0.8071942446043167,0.3281153889597741,0.5731219005903186,0.6775398078694566,0.6713147410358565,0.7580109224898013,0.18355904948860968,0.43485769476663577,0.6856221488123329,0.6792828685258964,0.7679723139845839,-0.007114237088118536,0.4368356182419084,0.8066605839416059,0.799492385786802,0.8724148418491483,0.37641535891193645,0.6135282036906863,0.8192010692010692,0.8075313807531381,0.894045144045144,0.38143608120097394,0.6207003673228224,0.7913055584560231,0.7911764705882353,0.8720284709895236,0.37250109721097335,0.6104122220196749,0.7194953454189124,0.7198748043818466,0.7958549730524254,0.2056041019107575,0.45928984955658214,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
ridge_dasc,0.73921867072552,0.7402597402597403,0.8060629122272958,0.27636697406646693,0.5259332342546071,0.6665965797589011,0.6686390532544378,0.7453041771797029,0.27460107980336956,0.5240394781478722,0.7167545963229416,0.7117296222664016,0.7759712230215828,0.2810883709498053,0.5331208679373503,0.6704171601526516,0.6454183266932271,0.7613995262534544,0.20085344800528837,0.44820060106812665,0.6825546641497562,0.6733067729083665,0.7144879660217083,-0.023177627574977766,0.42644331946798963,0.783698296836983,0.751269035532995,0.8496350364963505,0.30250605122624374,0.5513858088505383,0.7634763884763884,0.7280334728033473,0.8483070983070984,0.30131465366850596,0.5556251870341711,0.7653144686923532,0.7573529411764706,0.8397636699035884,0.31258159029850685,0.561079604863452,0.6852425281724646,0.6838810641627543,0.7334639882410583,0.11361269016872189,0.35696482658539863,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
svm_basic,0.791265009301539,0.788961038961039,0.8639015728056824,0.4052821930053404,0.640008672544156,0.7164283711802635,0.7159763313609467,0.7851135407905803,0.3411194508937535,0.5930831094756711,0.7257474020783373,0.7216699801192843,0.8098960831334933,0.30227288369154626,0.5623956545955971,0.6962429267008816,0.6852589641434262,0.7808428740623766,0.2014770866126474,0.48203802026332826,0.5964291332389492,0.651394422310757,0.7207802422526348,-0.05095452454910476,0.45051726123502883,0.8082116788321168,0.7918781725888325,0.8769768856447688,0.3571172882977097,0.602231695475373,0.8394713394713396,0.8326359832635983,0.8987228987228988,0.3637810224871534,0.6128332372472086,0.7883470815495458,0.788235294117647,0.869539869827016,0.3602622273202415,0.6105756321705267,0.7459725624693777,0.7464788732394366,0.811768740813327,0.20668403872166052,0.48498493997192726,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
svm_dasc,0.758751902587519,0.7597402597402597,0.8222560460003383,0.30716314095173936,0.5617111324131905,0.6784412671712924,0.6804733727810651,0.7378749649565461,0.20912957404879284,0.48389103895978397,0.7225739408473222,0.7176938369781312,0.7809432454036771,0.2849080399756718,0.5403585705847325,0.6979043295170417,0.6752988047808764,0.7636695617844453,0.20159492378994248,0.4621352471527222,0.6569922919616171,0.6235059760956175,0.7234544596507786,-0.27182379434167436,0.4144066044655884,0.7675486618004866,0.7385786802030457,0.847749391727494,0.2845068963441769,0.5573890605035398,0.7697876447876448,0.7489539748953975,0.8529848529848529,0.30432851710046616,0.5579321690376757,0.7655581079670043,0.7602941176470588,0.845985172809857,0.2953950759952291,0.5552180773567825,0.7081577658010779,0.7073552425665102,0.7651445369916707,0.11650557420325847,0.3856387665967277,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
lstm,0.7963808557415863,0.7922077922077922,0.8699898528665652,0.47838844073242615,0.6946540506163524,0.7580599943930474,0.757396449704142,0.8024950939164565,0.38826912067231134,0.624307858861021,0.7360111910471623,0.731610337972167,0.7975699440447641,0.2839510371676667,0.5398615004822925,0.6986939070930385,0.6872509960159362,0.7699532833267536,0.18964531695422904,0.46485659012854463,0.7662217923920052,0.7103365384615384,0.8734751773049647,0.4114109956081803,0.6496208899241189,0.8210158150851581,0.8324873096446701,0.8886557177615572,0.38281006818069074,0.6207643789295263,0.8035343035343036,0.8117154811715481,0.9078556578556578,0.38534984948841555,0.626380030418988,0.79359402735721,0.7955882352941176,0.8673210121471581,0.38959875367323904,0.6245308420053738,0.736202841744243,0.7370892018779343,0.8152082312591867,0.23103715954921844,0.4902088369152368,0.7396463343687913,0.6987179487179487,0.7913789886172793,0.4272825331857165,0.6575016550400985
