,clath_aux+gak_balanced_accuracy,clath_aux+gak_accuracy,clath_aux+gak_roc_auc,clath_aux+gak_r2,clath_aux+gak_corr,clath_aux+gak_recall,clath_aux+gak_a7d2_balanced_accuracy,clath_aux+gak_a7d2_accuracy,clath_aux+gak_a7d2_roc_auc,clath_aux+gak_a7d2_r2,clath_aux+gak_a7d2_corr,clath_aux+gak_a7d2_recall,clath_aux+gak_a7d2_new_balanced_accuracy,clath_aux+gak_a7d2_new_accuracy,clath_aux+gak_a7d2_new_roc_auc,clath_aux+gak_a7d2_new_r2,clath_aux+gak_a7d2_new_corr,clath_aux+gak_a7d2_new_recall,clath_aux+gak_new_balanced_accuracy,clath_aux+gak_new_accuracy,clath_aux+gak_new_roc_auc,clath_aux+gak_new_r2,clath_aux+gak_new_corr,clath_aux+gak_new_recall,clath_aux_dynamin_balanced_accuracy,clath_aux_dynamin_accuracy,clath_aux_dynamin_roc_auc,clath_aux_dynamin_r2,clath_aux_dynamin_corr,clath_aux_dynamin_recall,clath_gak_balanced_accuracy,clath_gak_accuracy,clath_gak_roc_auc,clath_gak_r2,clath_gak_corr,clath_gak_recall
gb_basic,0.8149869657173774,0.8157894736842105,0.8967914350827144,0.42683610118487314,0.6590992192414136,0.7654320987654321,0.7256888039496735,0.7210216110019646,0.8126373626373625,0.2719533017666813,0.5233917308863719,0.7523809523809524,0.8371244304391937,0.8334448160535117,0.9091355581606279,0.44032464442132424,0.6696117714306027,0.7438867438867439,0.8478927203065134,0.8325434439178515,0.917009172181586,0.3983797576339705,0.6322439141065336,0.8888888888888888,0.8676156840328111,0.8547948445075085,0.9421779055134056,0.3858525996712714,0.6227682458527414,0.9026482655725475,0.7643692090356357,0.7657316148597423,0.8492237164660748,0.30655546786552546,0.5551820838916802,0.7427184466019418
gb_dasc,0.7817782368468513,0.7813765182186235,0.8486055776892429,0.2986763701289411,0.5476372546104964,0.8065843621399177,0.7384018155757286,0.7288801571709234,0.7944935499283325,0.25015740159564137,0.5025008430386354,0.7928571428571428,0.8153511649333376,0.8107023411371237,0.8386713414568567,0.3157700936614932,0.563124371506566,0.6975546975546976,0.8168582375478928,0.7898894154818326,0.8863578311854174,0.3221441303525866,0.5685158510646532,0.8888888888888888,0.8525151923198129,0.8292538725316306,0.9254028748007164,0.3371532368756338,0.5813318202653884,0.9160760910108169,0.7415550600390566,0.7399545109931767,0.8183731977895655,0.23817715480631918,0.4885100497584764,0.7669902912621359
rf_basic,0.8048300624661846,0.805668016194332,0.8912498155526043,0.40840360123585007,0.6407693597053997,0.7530864197530864,0.7276875298614429,0.7200392927308448,0.8149506290810637,0.2681514227904501,0.5211405815557297,0.7714285714285715,0.8388962978099468,0.8354515050167224,0.8963820565491873,0.4271577492717963,0.6570046376969988,0.7516087516087516,0.8389411354928596,0.8278041074249605,0.9021014745152677,0.35579725002469376,0.5977430202849157,0.8686868686868687,0.8612429624287461,0.846635922904103,0.9359820595531705,0.37630461009469207,0.6134985269611869,0.9011562849682954,0.7618035261692728,0.7626990144048522,0.8457774146041946,0.2885890544335785,0.5417035589884159,0.7475728155339806
rf_dasc,0.7613332677520371,0.7611336032388664,0.8329972291902349,0.26725788953491536,0.524363301115888,0.7736625514403292,0.7210264373307851,0.7151277013752456,0.7730729415512024,0.2036390882596204,0.45809704173012755,0.7547619047619047,0.7969101214226562,0.7919732441471572,0.7945117819769631,0.2592173915422338,0.5145291581782613,0.6718146718146718,0.7814872866597005,0.7582938388625592,0.8325322187391153,0.22438046495651454,0.48476927115109214,0.8434343434343434,0.8221708485691348,0.8059595601277049,0.8931747957567411,0.2686600760346525,0.5253974624954076,0.866467735919433,0.7287058709471905,0.7278241091736164,0.7929264250331242,0.17677765204491092,0.4396087297461108,0.7427184466019418
ridge_basic,0.8072811634121948,0.8076923076923077,0.8923155116160871,0.39648896860336313,0.632629569279527,0.7818930041152263,0.7271062271062271,0.7210216110019646,0.8056059882146839,0.2598486745154205,0.5099038527202628,0.7619047619047619,0.8498886869360407,0.8468227424749164,0.8996497492319219,0.3904107023310539,0.6280535636942455,0.7722007722007722,0.840073145245559,0.8199052132701422,0.9101358411703239,0.37887808809117773,0.6169440558099645,0.8939393939393939,0.870793149391274,0.8558590516731701,0.9417614179395168,0.37558689444701154,0.6134811827990839,0.9116001491980604,0.7577155150524678,0.7581501137225171,0.8418302101944056,0.28757550521595243,0.5370453082654219,0.7508090614886731
ridge_dasc,0.7640466938829047,0.7631578947368421,0.8429000049185972,0.27225191425408124,0.521969596623276,0.8189300411522634,0.7174709348622392,0.7013752455795678,0.7909619366141105,0.24008316871892643,0.49047627854837783,0.8095238095238095,0.8380941626066973,0.8347826086956521,0.8489834840809771,0.3125097342717428,0.5609361035240853,0.7541827541827542,0.7991466388018112,0.7598736176935229,0.8799256937187971,0.30871876288047206,0.5572568930271647,0.9040404040404041,0.8408792417866158,0.8031216743526073,0.9210697444104973,0.3199682310452914,0.5669609810578925,0.9440507273405446,0.7404366854562829,0.7354056103108415,0.8096639567146332,0.22453705176603667,0.4748366055128927,0.8203883495145631
svm_basic,0.8091420326922762,0.8097165991902834,0.8931680684668732,0.40742451366680743,0.6474230527081717,0.7736625514403292,0.7310320114667941,0.7239685658153242,0.8164914795349578,0.24365965132875667,0.5205147951670077,0.7714285714285715,0.8337393302574361,0.8294314381270903,0.9016143082995451,0.4108553345314929,0.6517143474816204,0.7245817245817245,0.8511145942180425,0.8388625592417062,0.9205619412515965,0.37140474865933604,0.6238590322057728,0.8838383838383839,0.8705435926458995,0.8642544637578338,0.9432098738325819,0.35631262732623614,0.621644124735366,0.8877284595300261,0.764560798489444,0.7657316148597423,0.8500547068681357,0.27479170216242677,0.5514240708223573,0.7459546925566343
svm_dasc,0.7779909169904744,0.7773279352226721,0.84552325676717,0.2846022986183747,0.5453595166192041,0.8189300411522634,0.7420727822901736,0.7298624754420432,0.7973045070871158,0.25203206432714154,0.5096028361880683,0.8119047619047619,0.8133677848162528,0.808695652173913,0.8258138759531517,0.29151343004412744,0.5615542721099843,0.694980694980695,0.8131835597352839,0.7867298578199052,0.8786137234413096,0.2898101095814013,0.5560775067175016,0.8838383838383839,0.8568109973642364,0.8328012297505025,0.9259117070882511,0.3073709671072522,0.5780172905934524,0.9224170085788884,0.7412249721849047,0.7391963608794542,0.819862055593258,0.21527078322131699,0.48423810691363106,0.7734627831715211
lstm,0.8191677733510403,0.819838056680162,0.9041201449346646,0.45286193960538124,0.6744636160174636,0.7777777777777778,0.7331581462016244,0.7239685658153242,0.8085403726708076,0.23066888347618852,0.5100973119407749,0.7857142857142857,0.839477957862359,0.8354515050167224,0.9112775728374615,0.44819224300661,0.6697104976839755,0.7374517374517374,0.8488331591779867,0.8451816745655608,0.915581098339719,0.38773454767513393,0.6252736432144937,0.8585858585858586,0.8945476645957342,0.8817547593709353,0.9491161900560113,0.39260136351259034,0.6267906986354854,0.9295039164490861,0.7660300356864211,0.7680060652009097,0.8530070311021241,0.29014933771337026,0.5556313380387576,0.7346278317152104
